captain,player2,player3,region,club
Jean Dupont,,,Southeast,Atlanta PC
Marie Laurent,,,Northeast,Boston BC
Pierre Martin,,,Southwest,Houston PC
Sophie Bernard,,,Northwest,Seattle BC
Lucas Moreau,,,Southeast,Miami PC
Emma Lefevre,,,Northeast,New York BC
Antoine Girard,,,Southwest,Phoenix PC
Claire Rousseau,,,Northwest,Portland BC
Michel Dubois,,,Southeast,Orlando PC
Isabelle Petit,,,Northeast,Philadelphia BC
François Thomas,,,Southwest,Dallas PC
Nathalie Robert,,,Northwest,Denver BC
Philippe Richard,,,Southeast,Tampa PC
Camille Simon,,,Northeast,Chicago BC
Julien Blanc,,,Southwest,San Antonio PC
Amélie Faure,,,Northwest,Salt Lake BC
