captain,player2,player3,region,club
Jean Dupont,André Moreau,Paul Lefevre,Southeast,Atlanta PC
Marie Laurent,Hélène Petit,Chantal Girard,Northeast,Boston BC
Pierre Martin,Jacques Leroy,Robert Simon,Southwest,Houston PC
Sophie Bernard,Anne Dubois,Véronique Blanc,Northwest,Seattle BC
Lucas Moreau,Thomas Girard,David Faure,Southeast,Miami PC
Emma Lefevre,Julie Simon,Laure Mercier,Northeast,New York BC
Antoine Girard,Nicolas Blanc,Frédéric Lambert,Southwest,Phoenix PC
Claire Rousseau,Céline Faure,Marguerite Roux,Northwest,Portland BC
Michel Dubois,René Lambert,Georges Morel,Southeast,Orlando PC
Isabelle Petit,Françoise Meyer,Denise Perrin,Northeast,Philadelphia BC
François Thomas,Bernard Roux,Henri Chevalier,Southwest,Dallas PC
Nathalie Robert,Sylvie Morin,Jacqueline Olivier,Northwest,Denver BC
Philippe Richard,Alain Mercier,Roger Clement,Southeast,Tampa PC
Camille Simon,Monique Garnier,Pauline Gauthier,Northeast,Chicago BC
Julien Blanc,Yves Fontaine,Maurice Fournier,Southwest,San Antonio PC
Amélie Faure,Christine Lemoine,Geneviève Bonnet,Northwest,Salt Lake BC
