captain,player2,player3,region,club
Jean Dupont,André Moreau,,Southeast,Atlanta PC
Marie Laurent,Hélène Petit,,Northeast,Boston BC
Pierre Martin,Jacques Leroy,,Southwest,Houston PC
Sophie Bernard,Anne Dubois,,Northwest,Seattle BC
Lucas Moreau,Thomas Girard,,Southeast,Miami PC
Emma Lefevre,Julie Simon,,Northeast,New York BC
Antoine Girard,Nicolas Blanc,,Southwest,Phoenix PC
Claire Rousseau,Céline Faure,,Northwest,Portland BC
Michel Dubois,René Lambert,,Southeast,Orlando PC
Isabelle Petit,Françoise Meyer,,Northeast,Philadelphia BC
François Thomas,Bernard Roux,,Southwest,Dallas PC
Nathalie Robert,Sylvie Morin,,Northwest,Denver BC
Philippe Richard,Alain Mercier,,Southeast,Tampa PC
Camille Simon,Monique Garnier,,Northeast,Chicago BC
Julien Blanc,Yves Fontaine,,Southwest,San Antonio PC
Amélie Faure,Christine Lemoine,,Northwest,Salt Lake BC
Henri Mercier,Claude Perrin,,Southeast,Charlotte PC
Martine Bonnet,Brigitte Chevalier,,Northeast,Detroit BC
Thierry Dupuis,Patrick Olivier,,Southwest,Austin PC
Dominique Gauthier,Sandrine Clement,,Northwest,Sacramento BC
Eric Fournier,Marc Roussel,,Southeast,Jacksonville PC
Véronique Brunet,Catherine Henry,,Northeast,Baltimore BC
Gilles Marchand,Didier Legrand,,Southwest,El Paso PC
Laurence Masson,Agnès Duval,,Northwest,Las Vegas BC
Serge Renard,Daniel Picard,,Southeast,Nashville PC
Valérie Caron,Madeleine Guerin,,Northeast,Minneapolis BC
Olivier Schmitt,Bruno Ferrand,,Southwest,Albuquerque PC
Stéphanie Colin,Nadia Arnaud,,Northwest,San Francisco BC
Christophe Vidal,Fabrice Gautier,,Southeast,New Orleans PC
Aurélie Lemaire,Delphine Rolland,,Northeast,Cleveland BC
Sébastien Hubert,Vincent Lacroix,,Southwest,Tucson PC
Caroline Meunier,Emilie Blanchard,,Northwest,Boise BC
